Symbol,Atomic Number,Electronegativity,Atomic Radii (pm),Thermal Conductivity,Density,Crystal System
H,1,2.2,53,0.1805,0.0000899,Simple Hexagonal
He,2,,31,0.1513,0.000179,Face Centered Cubic
Li,3,0.98,167,85,0.534,Body Centered Cubic
Be,4,1.57,112,190,1.85,Simple Hexagonal
B,5,2.04,87,27,2.34,Simple Trigonal
C,6,2.55,67,140,2.27,Simple Hexagonal
N,7,3.04,56,0.02583,0.00125,Simple Hexagonal
O,8,3.44,48,0.02658,0.00143,Base Centered Monoclinic
F,9,3.98,42,0.0277,0.0017,Base Centered Monoclinic
Ne,10,,38,0.0491,0.0009,Face Centered Cubic
Na,11,0.93,190,140,0.971,Body Centered Cubic
Mg,12,1.31,145,160,1.74,Simple Hexagonal
Al,13,1.61,118,235,2.7,Face Centered Cubic
Si,14,1.9,111,150,2.33,Tetrahedral Packing
P,15,2.19,98,0.236,1.82,Simple Triclinic
S,16,2.58,88,0.205,2.07,Face Centered Orthorhombic
Cl,17,3.16,79,0.0089,0.00321,Base Centered Orthorhombic
Ar,18,,71,0.01772,0.00178,Face Centered Cubic
K,19,0.82,243,100,0.862,Body Centered Cubic
Ca,20,1,194,200,1.54,Face Centered Cubic
Sc,21,1.36,184,16,2.99,Simple Hexagonal
Ti,22,1.54,176,22,4.54,Simple Hexagonal
V,23,1.63,171,31,6.11,Body Centered Cubic
Cr,24,1.66,166,94,7.15,Body Centered Cubic
Mn,25,1.55,161,7.8,7.44,Body Centered Cubic
Fe,26,1.83,156,80,7.87,Body Centered Cubic
Co,27,1.88,152,100,8.86,Simple Hexagonal
Ni,28,1.91,149,91,8.91,Face Centered Cubic
Cu,29,1.9,145,400,8.96,Face Centered Cubic
Zn,30,1.65,142,120,7.13,Simple Hexagonal
Ga,31,1.81,136,29,5.91,Base Centered Orthorhombic
Ge,32,2.01,125,60,5.32,Face Centered Cubic
As,33,2.18,114,50,5.78,Simple Trigonal
Se,34,2.55,103,0.52,4.81,Simple Monoclinic
Br,35,2.96,94,0.12,3.12,Base Centered Orthorhombic
Kr,36,,88,0.00943,0.00373,Face Centered Cubic
Rb,37,0.82,265,58,1.53,Body Centered Cubic
Sr,38,0.95,219,35,2.64,Face Centered Cubic
Y,39,1.22,212,17,4.47,Simple Hexagonal
Zr,40,1.33,206,23,6.51,Simple Hexagonal
